"text","rating","review_date","product_id","review_id","reviewer","review_page","trouble"
"0","0","0","0","0","A2YP1HYB6Q0JEQ","http://www.amazon.com/gp/cdp/member-reviews/A2YP1HYB6Q0JEQ?ie=UTF8&display=public&page=5&sort_by=MostRecentReview","banned"
"0","0","0","0","0","A2YP1HYB6Q0JEQ","http://www.amazon.com/gp/cdp/member-reviews/A2YP1HYB6Q0JEQ?ie=UTF8&display=public&page=6&sort_by=MostRecentReview","banned"
"0","0","0","0","0","A2YP1HYB6Q0JEQ","http://www.amazon.com/gp/cdp/member-reviews/A2YP1HYB6Q0JEQ?ie=UTF8&display=public&page=7&sort_by=MostRecentReview","banned"
"Ken Burns delivers again in this beautifully done documentary of jazz. From its inception to how jazz evolved from the likes of Louis Armstrong, Duke Ellington, Billie Holiday, Miles Davis, John Coltrane, and so many more, it offers a most interesting look at all of the legends and their musical styles, personalities, and lifestyles which ultimately shaped jazz, sometimes controversially. This set offers the viewer the opportunity to keep abreast of every musical number featured, as it'll display that info if you'd like. There are also three performances included. All in all, Ken Burns' Jazz will keep you mezmerized for hours.","5.0 out of 5 stars","March 29, 2015","http://www.amazon.com/review/R3R472WP4CFZZ0/ref=cm_aya_cmt?ie=UTF8&ASIN=B000BITUEI#wasThisHelpful","R3R472WP4CFZZ0","A2YP1HYB6Q0JEQ","http://www.amazon.com/gp/cdp/member-reviews/A2YP1HYB6Q0JEQ?ie=UTF8&display=public&page=8&sort_by=MostRecentReview","correct"
"There aren't 4 DVDs in this set; there are 2, which are maybe the equivalent of 4 in terms of total running time? I don't know- it doesn't say. Anyway, this cast of comedians is hit or miss; some performances are hilarious (such as Michael Jr's), while others don't deliver or resonate at all. If no profanity in comedy is your thing, then this should suit you. Overall, it's a decent dose of comedy when there aren't better choices available.","3.0 out of 5 stars","March 23, 2015","http://www.amazon.com/review/R252A3EQTZK7ZZ/ref=cm_aya_cmt?ie=UTF8&ASIN=B005PUVGEO#wasThisHelpful","R252A3EQTZK7ZZ","A2YP1HYB6Q0JEQ","http://www.amazon.com/gp/cdp/member-reviews/A2YP1HYB6Q0JEQ?ie=UTF8&display=public&page=8&sort_by=MostRecentReview","correct"
"Twin Peaks was a hit television show in the early 90's; it was David Lynch hitting prime time with his signature brand of surreal storytelling. Twin Peaks sort of burst on the scene, arguably because of the stellar and catchy soundtrack by Angelo Badalamenti. His Twin Peaks Theme, as well as Laura Palmer's Theme set the mood and tone for the whole series, and have a uniqueness all their own. There are those who loved the show and its music. Then there are those who were ambivalent about the show, but loved the music. After all these years, I've yet to hear anyone who didn't like the music. This soundtrack is very deep, emotional, dark, hypnotic, and powerful. I recommend this focused soundtrack as something catchy and out of the ordinary.","5.0 out of 5 stars","March 21, 2015","http://www.amazon.com/review/REXF50ZIEQ17A/ref=cm_aya_cmt?ie=UTF8&ASIN=B000002LMM#wasThisHelpful","REXF50ZIEQ17A","A2YP1HYB6Q0JEQ","http://www.amazon.com/gp/cdp/member-reviews/A2YP1HYB6Q0JEQ?ie=UTF8&display=public&page=8&sort_by=MostRecentReview","correct"
"This comprehensive compilation of the Twin Peaks saga leaves nothing behind; it contains every episode (including the iconic pilot), plus has the movie (Fire Walk With Me) included. As far as bonus features, it has just about anything a fan (or new fan in the making) wants: hours of interesting commentary and deleted scenes, etc. Of course, this set wouldn't be complete without the pristine Blu Ray mastering, with great sound to match. Set in the pacific northwest, this brooding series is vintage David Lynch: offbeat, dark, surreal, and oftentimes left to ones own interpretation. Of course, the icing is Angelo Badalamenti's signature soundtrack that is mood-setting for sure. I highly recommend this set for old and new fans alike.","5.0 out of 5 stars","March 17, 2015","http://www.amazon.com/review/R2ABV8HRYPWUKB/ref=cm_aya_cmt?ie=UTF8&ASIN=B00KCTG4PO#wasThisHelpful","R2ABV8HRYPWUKB","A2YP1HYB6Q0JEQ","http://www.amazon.com/gp/cdp/member-reviews/A2YP1HYB6Q0JEQ?ie=UTF8&display=public&page=8&sort_by=MostRecentReview","correct"
"This gold pocket watch is indicative of yesteryear, when this was a timekeeper's preferred piece. Yes, to see one use a pocket watch these days is a rarity, or perhaps I'm not paying too much attention? A symbol of charm, elegance and sophistication, this timepiece is, well, timeless. I prefer using this pocket watch because I don't really like wearing a watch or checking my iPhone for the time. This watch is durable, and has the classic accompanying chain that I utilize just in case I'm careless and potentially leave it behind somewhere. If pocket watches aren't your thing on a daily basis, at least try using one the next time you attend an elegant social event; people will love and appreciate the nostalgia. This watch should last a lifetime as well.","5.0 out of 5 stars","March 13, 2015","http://www.amazon.com/review/RYMAREXMT3UZ/ref=cm_aya_cmt?ie=UTF8&ASIN=B00EL0YQT6#wasThisHelpful","RYMAREXMT3UZ","A2YP1HYB6Q0JEQ","http://www.amazon.com/gp/cdp/member-reviews/A2YP1HYB6Q0JEQ?ie=UTF8&display=public&page=8&sort_by=MostRecentReview","correct"
"Giant Steps isn't shy- Coltrane leaves nothing in the bag with this very grooving tenor sax extravaganza that is pure immortality. How he's able to play so fast and with such precision is truly amazing. Several Coltrane staples are featured on this legendary album, such as the title track, COUSIN MARY, and NAIMA. Coltrane takes hard bop to another dimension and level with this not to be missed masterpiece. Essential. 10/10","5.0 out of 5 stars","March 11, 2015","http://www.amazon.com/review/R2GVD3FRC1CZ2H/ref=cm_aya_cmt?ie=UTF8&ASIN=B000002I4S#wasThisHelpful","R2GVD3FRC1CZ2H","A2YP1HYB6Q0JEQ","http://www.amazon.com/gp/cdp/member-reviews/A2YP1HYB6Q0JEQ?ie=UTF8&display=public&page=8&sort_by=MostRecentReview","correct"
"Miles Smiles is, in a lot of ways, the last hurrah of superlative acoustic offerings by Davis; it was the end of an era, and right before Davis started experimenting with electronic sound. Recorded in 1966, it was right before the psychedelic period of that turbulent decade- a period of experimentation. Anyway, this album is absolutely in Miles' top ten of all-time. At times mezmerizing with its fast pace, and at other times deeply intellectual and slower, it has something for everyone in the realm of freebop. The track CIRCLE is piano-driven, and has a BLUE AND GREEN feel to it, (Kind of Blue Album), while definitely keeping its own identity. All in all, Miles Smiles is a cohesive effort that keeps the listeners attention. A must-have for any serious fan. 10/10","5.0 out of 5 stars","March 9, 2015","http://www.amazon.com/review/R21KU22XFSN9JY/ref=cm_aya_cmt?ie=UTF8&ASIN=B0000247P5#wasThisHelpful","R21KU22XFSN9JY","A2YP1HYB6Q0JEQ","http://www.amazon.com/gp/cdp/member-reviews/A2YP1HYB6Q0JEQ?ie=UTF8&display=public&page=8&sort_by=MostRecentReview","correct"
