"text","rating","review_date","product_id","review_id","reviewer","review_page","trouble"
"Red Winter is an entertaining suspenseful read that gallops onward page after page and hardly allows those to catch their breath before another action packed scene charges the reader's vivid imagination. Set in 1920 Russia the reader is immediately introduced to the ghosts that haunt our narrator's mind. Returning from the blood soaked fields and passage of battle, all Kolya desires is his family and the comforting sounds of civilian life. Sick from the images and realizations of war he returns only to find his village eerily silent and his home empty. It is only when the bone-chilling night falls that Kolya begins to suspect the silent woods beyond the village may hold more secrets than answers to the mystery of the disappearance of the inhabitants of Belev and that folk tale monsters may be real...In the end, this was an entertaining thriller that mixed atmosphere with action and pulled the tale of Koschei, The Deathless into a mystery that had this reader sneaking away from real life to her kindle at any available opportunity. The dramatic styling of The Child Thief (another novel by Mr. Smith) continues in Red Winter. Whereas the reader was entranced with the grisly collaboration of a kidnapping, the consequences of unleashed paranoia and the tale of Baba Yaga in The Child Thief; Red Winter takes on the realizations and horrors of war, the limits of a father's and husband's love with the tale of Koschei, The Deathless. Set in similar time periods and the snow howls and screams across the pages in both, Red Winter is completely different than The Child Thief. Different in many positive ways but still the disappointing negatives I found with The Child Thief were again found in Red Winter mainly predictability, repetitive actions or thoughts and a lackluster ending. Still I eagerly look forward to sneaking away from real life and joining another journey into the snow encrusted pages with another cleverly blended tale of Eastern Europe and Slavic Folklore from Mr. Smith.*I would like to thank Pegasus publishing and Edelweiss for the opportunity to read and enjoy Red Winter","4.0 out of 5 stars","July 8, 2014","http://www.amazon.com/review/R1SXBHUQADLVDD/ref=cm_aya_cmt?ie=UTF8&ASIN=B00IDEQNZ6#wasThisHelpful","R1SXBHUQADLVDD","A38V79W0V9FMQ7","http://www.amazon.com/gp/cdp/member-reviews/A38V79W0V9FMQ7?ie=UTF8&display=public&page=10&sort_by=MostRecentReview","correct"
"Everyone loves a villain and practically everyone loves ice cream, so what a perfect combination in this a life revisited through the words of a woman who is dubbed The Ice Cream Queen of America and yet in the early 1980's is a celebrated pariah who is about to face the tabloids, the all too eager accusing public eye and critical fight to salvage her image, career and life. It is open season on Lillian M. Dunkle as the courtroom and papers play out as a bad scandalous episode of ""This is Your Life"" and her once brilliant empire of cold whipped butterfat, milk substitute and corn syrup seems to melt before eyes, but wait this is not a tragedy oh no Lillian stands with her own crown of dignity and tells the reader her side of events before they pass judgment. So picture it darlings a back and forth tale of struggles, humble tragic beginnings and rise from obscurity with an extreme and unconventional narrator who uses blunt and sometimes crass wicked humor to relate the moments of her life. Who knew ice cream played so much an integral role in America during the 20th century (at least according to our anti-heroine), with sharp wit and candid access the reader is privy to this hard to ignore magnetic being who seems to have more than 36 flavors of personality and stories to tell. So pull out your favorite ice cream out of the freezer, try to ignore the summer heat and enjoy a real treat with The Ice Cream Queen of Orchard Street.In the end, the unaccustomed weather is what drove this reader to sample The Ice Cream Queen of Orchard Street and I am very happy I did, this was a wonderful entertaining treat that helped me ignore the mugginess outside. The integral whipped combination of history and unconventional narrator had me sneaking away to my kindle at any available moment and I finished this title very quickly. Lillian Dunkle was a charismatic personality that reminded me of Sophia Petrillo-Weinstock (played by the beloved late Estelle Getty) with all the spunk and ease of spinning an engrossing story with a pearl of wisdom hidden deep inside. In Lillian's case though more profanity, wicked humor and manipulation is whipped into her story and also combines the drama and negative publicity of: Joan Crawford, Martha Stewart and the extravagance of Zsa Zsa Gabor and Leona Helmsley to create a believable character that dares the reader to judge before her side of events are shared. I loved the history and details of the fanciful field of ice cream, it seemed more of a confessional behind the locked gates of Willy Wonka's factory learning the secrets of the trade and what drives the consumption and desire of the public. And the forgotten theories on the devastating disease Poliomyelitis were fascinating from a medical standpoint and really pulled this reader in further. Not only a funny read there are also pages of sadness and transformation that caused a few tears to fall (especially at the end)- Ms. Gilman's has a talent with description and building a heart-rending scene. Overall, I would recommend this read for those who need a good laugh, the outrageous scenarios are sure to surprise or cause a smile and you may learn something. So enjoy!I would like to thank Grand Central Publishing and NetGalley for the opportunity to read and enjoy The Ice Cream Queen of Orchard Street","4.0 out of 5 stars","July 4, 2014","http://www.amazon.com/review/R8ZBJFQM0U9JG/ref=cm_aya_cmt?ie=UTF8&ASIN=B00FPQCTXU#wasThisHelpful","R8ZBJFQM0U9JG","A38V79W0V9FMQ7","http://www.amazon.com/gp/cdp/member-reviews/A38V79W0V9FMQ7?ie=UTF8&display=public&page=10&sort_by=MostRecentReview","correct"
"Don't judge this book by its cover. Succession may seem a benign rendering of history told by the dual perspectives of Margaret of Anjou and Margaret Beaufort purporting all the surrenders of romance, fettered views of the rise and fall of the Lancaster and York houses concentrating on frivolous trappings and precious else during 15th-century England but Succession by Livi Michael is actually a compelling tableau of history that is sure to excite history enthusiasts or those who appreciate a brilliantly delivered story. Presented in a distinct clever style Succession combines imaginative dialogue, rich description, a touch of lyrical prose and brilliantly depicted historical events to weave a tale chocked full of: premeditated treachery, all consuming greed, loss of innocence, murder most foul and the strong personalities that dominated the sides of the dynastic Wars of the Roses.Whether the curious reader is unfamiliar with the years or events that led to and followed the uneven rise and fall of the houses of Lancaster and York that historians delight in debating to this day, they are sure to be swept into a convincing tale that not only focuses on views of the 15th-century court but also pulls brief narration from the common man and woman. Machinations that consumed minds and corrupted hearts and its further consequences are shared with the reader in a concise fashion that fully captures the monumental events that affected the rich, poor and left a country torn with loyalty to either the red rose (for the house of Lancaster) or the white rose (for the house of York). Characters are divided by their houses (at times even representing both), cast in multifaceted light and dark shadows of personality and alliances and are heralded in chapters with the red or white rose insignia to aid the reader in understanding the character the chapter focuses on. Chapters are also introduced in a scholarly fashion with a selection from a chronicle, register, calendar roll or ballad that then is spun into a tableau of that event for the entertainment of the reader following a central character and continuing the time frame of events cleverly moving the story along without the need to backtrack and explain a journey or lesser battle. Although, Succession could even at times confuse those familiar with the history, events and central figures and even share in excess certain scenes and over dramatize at times- this is still a compelling title that is sure to entertain and encourage further study. If the reader desires more, it is clear Succession explains only part one of the events of the Wars of the Roses and there is still much to be told.","4.0 out of 5 stars","June 28, 2014","http://www.amazon.com/review/R1DGG79GEZIXR0/ref=cm_aya_cmt?ie=UTF8&ASIN=B00K6Y0HHQ#wasThisHelpful","R1DGG79GEZIXR0","A38V79W0V9FMQ7","http://www.amazon.com/gp/cdp/member-reviews/A38V79W0V9FMQ7?ie=UTF8&display=public&page=10&sort_by=MostRecentReview","correct"
"What is it about the story of the Fitzgeralds that draws many of us like moths to a consuming fire? Is it the fascination with the excess and frivolity of the era the golden couple dominated, the fine line of eccentric brilliance and unbalance they both danced or is it just human nature to want to read about tragedy and misfortune of others? With so much material to mold and conjure into a striking portrait of Zelda Fitzgerald and F. Scott Fitzgerald during their rise, ultimate fall from grace and arguable codependent relationship, I'm so sorry to say Z: a novel of Zelda Fitzgerald disappointed this reader.I thought this novel had been waiting long enough on my to-read list and on a whim purchased it, I wish now though I read more reviews or did more research. Ultimately I never lost myself in this story like I hoped. With a broad expanse of topics to cover that made up the years of 1918-1940 I understand that a lot of topics had to be explained and brought into Zelda's narration but for this reader it just became muddled with anachronistic dialogue, terms, and misplaced facts to point of frustrating distraction. Certain topics were also forced into the narration and became irksome to see in continuous pages. In regards to pacing, I found it sadly slow and tedious to the point of almost giving up.In the end, I am so sorry to say I think the central focus and time setting more than the choices of the direction of characterization kept me engaged enough to finish. However what disappointed this reader may fascinate and charm many enough to ignore the negatives. I wish those have a wonderful reading experience but it may help others to learn from my folly and maybe sample this novel, read a couple more reviews before their final decision or perhaps wait to read at your local library.","3.0 out of 5 stars","June 7, 2014","http://www.amazon.com/review/R3Q546ERPLU69E/ref=cm_aya_cmt?ie=UTF8&ASIN=B0096QZ6OE#wasThisHelpful","R3Q546ERPLU69E","A38V79W0V9FMQ7","http://www.amazon.com/gp/cdp/member-reviews/A38V79W0V9FMQ7?ie=UTF8&display=public&page=10&sort_by=MostRecentReview","correct"
"The Hatmaker's Heart is a lovely read that will take the reader from the millinery shops of New York City to across the pond and back again. Set in the early 1920's the reader will be introduced to the high pressured world of fashion where the final embers of elegance and status of the Edwardian period are competing with the scandalous flamboyant Jazz Age. Where instead of steeped tea being served in halls, gin flows freely into dainty teacups, hemlines move up as fast as the length of current hairstyles and arms and legs swing to the Charleston. 1922 New York City is where the reader is first introduced to Nell Marchwold, who dreams of being a hat designer. But in a cut-throat world that is dominated by connections, margins and a designer's career could be over in a New York minute-what will it take to make it to the top?With historical detail that charms along with a vibrant cast of characters and offers a lively jaunt into the commercial and fashion world of New York City during the early 1920's this novel can quickly capture a reader's full attention and become a pleasant escape from real life. With an easy comparison to Clara and Mr. Tiffany and even a nod to Agnes Grey, The Hatmaker's Heart can also be comfortably taken as a tale of caution, a story questioning what is really important in life. Enough of a cozy quick read to satisfy those looking for a historical or lightly religious themed novel but also with a few surprises for those who desire an interesting twist and mystery with their reading.*I would like to thank FaithWords/Center Street Publishing and NetGalley for the opportunity to read and enjoy The Hatmaker's Heart","4.0 out of 5 stars","June 3, 2014","http://www.amazon.com/review/R271FF01SUMDZS/ref=cm_aya_cmt?ie=UTF8&ASIN=B00FPQCSXQ#wasThisHelpful","R271FF01SUMDZS","A38V79W0V9FMQ7","http://www.amazon.com/gp/cdp/member-reviews/A38V79W0V9FMQ7?ie=UTF8&display=public&page=10&sort_by=MostRecentReview","correct"
"It has been said that home is where the heart is, it is also been said that a King's home is his castle. Ms. Valentine has spun these phrases and a lesser known German fairytale into a ducky read featuring New York City during the roaring twenties in all its intoxicating brilliance. The tale opens with a gawker's view of the large group of women who flock to the dance halls and turn all heads when they arrive, the mystery of the dancers continues when they are simply dubbed ""princesses"". The reader then is gradually introduced to each of these princesses with charmingly titled chapters and a unique combination of storytelling and movement that reflects the popular dances of the time period; the tempo can sweep the reader into a Charleston with the action and drama but then slow to a romantic Waltz with just a few chapters. Although an overall upbeat novel, darker themes are introduced and briefly explored but what would the Jazz Age be without a little scandal?  So hear the music and be sure to keep your dance card open for The Girls at the Kingfisher Club, an imaginative step back into the 1920's for those who love history and a little whimsy.I would like to thank Atria Books and NetGalley for the opportunity to read and enjoy The Girls at the Kingfisher Club","3.0 out of 5 stars","June 3, 2014","http://www.amazon.com/review/R162OGNMCK049C/ref=cm_aya_cmt?ie=UTF8&ASIN=B00GEEB84S#wasThisHelpful","R162OGNMCK049C","A38V79W0V9FMQ7","http://www.amazon.com/gp/cdp/member-reviews/A38V79W0V9FMQ7?ie=UTF8&display=public&page=10&sort_by=MostRecentReview","correct"
"Take it as it is a small collection of some of the strangest tales you will read about the Tower of London, Hampton Court, Banqueting House, Kensington Palace, Kew Palace and a few other locations. In these tales history, modern pop culture references, myth and legend blend into a quick read about the aforementioned locations between 1078 and 2013. In this concise book the reader will encounter amusing tales about: a disappearing bear, bold escapes from the tower, deadly jams and preserves, a misplaced scepter, a wild child, legendary spiders, the embarrassing complications of lady's fashion, and a reattached head for a long overdue commemorative portrait. Of course there is much more to explore and these are indeed some of the strangest tales you will read about London's historic palaces.In the end I just decided to take this small book as it was-a quick and entertaining read. Finishing this read in one sitting I enjoyed the time spent and learned some new tidbits of trivia (and phrases). I was however looking for a more comprehensive read but then again it is nice to let my curious mind to just relax with a light collection of facts. Overall this book is a nice collection of fascinating trivia and opens many new windows of study for the reader, so have a little fun with history with London's Strangest Tales: The Royal Palaces: Extraordinary but True Stories.*I would like to thank NetGalley and Pavilion Books for the opportunity to read and enjoy London's Strangest Tales: The Royal Palaces: Extraordinary but True Stories","4.0 out of 5 stars","June 1, 2014","http://www.amazon.com/review/R3EJXZ0S4QL8N2/ref=cm_aya_cmt?ie=UTF8&ASIN=B00KIZOJ9U#wasThisHelpful","R3EJXZ0S4QL8N2","A38V79W0V9FMQ7","http://www.amazon.com/gp/cdp/member-reviews/A38V79W0V9FMQ7?ie=UTF8&display=public&page=10&sort_by=MostRecentReview","correct"
"The Hurlyburly's Husband is a unique love story that takes the reader on a bizarrely wonderful ride through 17th-century France with a king, a mistress and a cuckold as the main attractions. Dark humor, tragic romance, interesting although vile details (concerning 17th-century hygiene habits and sanitary conditions) and raunchy passages (you may never want to wear a strand of pearls again) create this salacious romp, that the reader is certain to remember days later. The Hurlyburly's Husband is a love story about a cuckold (Louis Henri de Pardaillan de Gondrin, marquis de Montespan), who is humiliated by the King of France (King Louis XIV) when his lewd favor falls on Fran�oise-Athénaïs, marquise de Montespan and alters the marquis de Montespan's whole perception of France and the monarchy. His undying love and devotion to his wife becomes a central theme as the husband battles for the return of his wife and revenge against King Louis but when the glittering palace of Versailles weaves its wicked charms on Françoise will she want to return to her simple life? What else can the king possibly do to further ruin the marquis de Montespan's life? The answers and the steps Louis Henri follows in the fervent hope of being reunited with this beloved and show his defiance to his sovereign are sure to shock the curious reader. So if the interested reader has a unique brand of humor, is interested in the crude parts of history that few references will note and enjoys a well crafted story about a bizarre love story- The Hurlyburly's Husband is your next read.*I would like to thank Gallic Books and Edelweiss for the opportunity to read and enjoy The Hurlyburly's Husband","4.0 out of 5 stars","May 29, 2014","http://www.amazon.com/review/RKGRCZD9313PJ/ref=cm_aya_cmt?ie=UTF8&ASIN=B0078XG56K#wasThisHelpful","RKGRCZD9313PJ","A38V79W0V9FMQ7","http://www.amazon.com/gp/cdp/member-reviews/A38V79W0V9FMQ7?ie=UTF8&display=public&page=10&sort_by=MostRecentReview","correct"
"The disappearance of a small child and the traditional structure of upstairs and downstairs collide in this Neo-Gothic tale shrouded in mystery and hidden secrets. Tyringham Park takes the reader into the complicated hive of the fictional ancestral Irish estate of the Blackshaw family where the staff may charm guests with obedience and structure but conceals behind closed doors sinister thoughts, poisonous gossip and dark resentment. Immediately the novel opens with the disappearance of the Park's darling little miss, the confusion that follows leads the reader to be marched from each station introducing them to each member of personnel and their whereabouts at the time of the child's disappearance. The observer soon becomes privy to the complicated relationships of those who share the prominent walls of Tyringham Park, the facade of privilege and status quickly falls and the misery and pettiness is exposed that reveals that something is horribly wrong within this grand house.The mystery continues to deepen and July 1917 soon becomes the 1920's, 1930's and finally the 1940's as the story follows the lives of those left behind to pick up the scattered memories of the lost Blackshaw child and the story travels from Ireland to the Australian outback and back again with swatches of time lapses and flashbacks to the history and origins of certain characters. Tyringham Park confronts many different subjects and depending on the reader may enjoy this twisted dramatic story of what happens behind closed doors of those seen born with silver spoons in their mouths.In the end this reader was somewhat disappointed. I sorely wanted to love this Gothic inspired read but found this novel was a little overly seasoned with predictable and unrealistic drama. Although the novel shined at certain points and I loved the complicated relationships that dominated the characters and the daring venturing into certain taboo topics; there was just something that overall lacked in the delivery of the eras the reader was shown and the presence of foreshadowing revealed numerous major points too early in the novel. Still Tyringham Park provided an interesting experience that I would recommend for those readers who love a historical fiction novel that takes drama to another level and blends mystery and complex relationships with the magnetic aristocratic world of former eras.*I would like to thank Atria Books and NetGalley for the opportunity to read and enjoy Tyringham Park","3.0 out of 5 stars","May 23, 2014","http://www.amazon.com/review/R1D67AEGM263MQ/ref=cm_aya_cmt?ie=UTF8&ASIN=B007X52BIY#wasThisHelpful","R1D67AEGM263MQ","A38V79W0V9FMQ7","http://www.amazon.com/gp/cdp/member-reviews/A38V79W0V9FMQ7?ie=UTF8&display=public&page=10&sort_by=MostRecentReview","correct"
"This imaginative re-stitching of 13th-century historical events uses the fictional confessions of King Edward I's lead court jester and fool to sit the reader in a dark corner of a monastery and listen to a story of the making of a king and tale of a shrewd fool. Through the mists of time Hamo Pauncefoot reveals his involvement in historical events from 1253-1274 to a monk he has hired to document the story of his life. The narration takes on dark eloquent styling and magnificent character representation; characters are magnified by this narration and of course embellished for the sake of the story and the narrator's royal benefactors. If readers are familiar with The Lymond Chronicles by Dorothy Dunnett or Bernard Cornwell's Warlord Chronicles then you may find another antihero in Hamo Pauncefoot. The reader is taken to this fool's humble beginnings and then witnesses Hamo's all consuming obsession of advancement of life and status which he believes can be obtained by providing his distinct set of services to the young prince Edward.Set to the backdrop of England during the mid-13th century the reader is privy to the intimate complicated relationships and manipulations of the court of King Henry III. As the story progresses the locations thunder on from battle fields, to towns, to clandestine rooms of taverns, to the holy crusade and back again with always Hamo Pauncefoot under the table or in a corner collecting vital information for his advances. This narration takes on a delicious dark phrasing that leaves more of a convincing representation of the mid-13th century, characters are painted with flaws and very few are described as faultless. Piety and virtue serve little in this story, greed and lust for power reigns over this storyline.In the end, although a few anachronistic terms in the dialogue briefly pulled this reader from this striking narration and the middle sagged with the different excursions, these can be forgotten with the twists and surprises that leapt from the corners of The Chronicles of Pauncefoot and Longshanks: The Making of a King. The footnotes at the end were a creative touch that leant more validity to the beginning claim that this story is true and recently discovered in 2007; all research and implantation was explained and (to this reader) showed superb attention to detail.  Finally the sometimes awkward formation and execution of showing time and births to the reader were seamless in this narration (a very hard thing to accomplish).  Overall this was gem of a read, an original story that I highly recommend for those readers who enjoy a more realistic view of this time period, those who enjoy reading about the machinations of a mind born into misery and desperation and another game for the control of England. The ending clearly indicates a sequel and this reader eagerly awaits the next installment about this shrewd narrator.* I would like to thank Troubador Publishing Ltd and NetGalley for the opportunity to read and enjoy The Chronicles of Pauncefoot and Longshanks: The Making of a King","5.0 out of 5 stars","May 10, 2014","http://www.amazon.com/review/R2Z07AP53U0XRV/ref=cm_aya_cmt?ie=UTF8&ASIN=B00K0PFWVW#wasThisHelpful","R2Z07AP53U0XRV","A38V79W0V9FMQ7","http://www.amazon.com/gp/cdp/member-reviews/A38V79W0V9FMQ7?ie=UTF8&display=public&page=10&sort_by=MostRecentReview","correct"
